KTS	S	FD	KD	LT
16	33	0	6	6
20	14	0	14	14
20	7	0	19	19
21	22	0	13	13
22	1	0	21	21
28	24	0	20	20
29	32	0	19	19
30	6	0	29	29
30	8	0	29	29
47	46	0	17	17
48	57	0	17	17
50	68	1	18	19
51	73	0	18	18
54	63	0	23	23
54	44	0	24	24
55	67	0	24	24
55	9	0	54	54
55	41	0	25	25
56	56	0	25	25
56	11	17	33	50
57	75	0	24	24
57	59	0	26	26
57	16	0	51	51
58	3	0	57	57
58	2	0	57	57
58	49	0	28	28
58	10	15	37	52
58	13	51	1	52
58	12	51	1	52
59	5	0	58	58
60	37	44	1	45
60	31	49	1	50
60	15	53	1	54
61	17	54	1	55
62	18	55	1	56
63	52	0	32	32
63	34	50	0	50
63	29	52	1	53
65	40	0	42	42
65	50	34	1	35
65	47	34	1	35
66	38	0	46	46
66	65	35	0	35
66	53	35	0	35
67	30	0	57	57
68	66	36	1	37
69	4	0	68	68
70	71	0	37	37
70	54	0	39	39
70	69	36	3	39
71	23	50	13	63
71	26	63	0	63
71	25	63	0	63
72	42	31	11	42
72	27	64	0	64
73	48	0	43	43
73	20	64	1	65
73	19	64	1	65
74	43	31	13	44
74	35	61	0	61
75	39	37	16	53
75	28	64	1	65
75	21	65	2	67
76	55	45	0	45
76	60	45	0	45
77	51	44	2	46
78	58	46	1	47
78	61	47	0	47
78	36	63	2	65
79	74	46	0	46
79	62	48	0	48
80	70	46	3	49
80	72	47	0	47
82	45	43	9	52
87	76	36	18	54
94	64	49	14	63


T1_Total_Damage	  T2_Total_Damage	  T3_Total_Damage	  T4_Total_Damage
	74.65		135.92			200.00			166.74


R1_Unpaved_Dist	  R2_Unpaved_Dist	  R3_Unpaved_Dist	  R4_Unpaved_Dist
	2		2			2			2


Game is WIN

Total Enemies	=76

Average First_Shot Delay	=25.84

Average Kill Delay	=16.72
